OBJECTID,STATE_NAME,COUNTY_NAME,SETTLEMENT_NAME,ALTERNATIVE_NAME_1,ALTERNATIVE_NAME_2,ALTERNATIVE_NAME_3,FUNCTIONAL_CLASSIFICATION,CONFIDENCE,DATA_SOURCE,LATITUDE,LONGITUDE
"278,993",Central Equatoria,Juba,Aru,,,,Village,20,WFP,4.36381490003845,31.98451079833560
"261,985",Central Equatoria,Juba,Aru,,,,Town,20,WFP,4.36878534956509,31.98294339961910
"266,321",Central Equatoria,Juba,Attigu,,,,Village,81,"WFP, OCHA COD, UNMISS, NBS",4.06047267907172,31.76393105027860
"287,345",Central Equatoria,Juba,Baden,,,,Village,40,WFP,4.51161867616179,31.67473983127910
"216,177",Central Equatoria,Juba,Badigeru Swamp,,,,Village,41,"UNMISS, WFP, NBS",5.33333329999266,32.03333329969290
"215,761",Central Equatoria,Juba,Bala Pool,,,,Village,61,"OCHA COD, UNMISS, WFP, NBS",5.25548820401821,31.80481779990240
"285,169",Central Equatoria,Juba,Bale,,,,Village,81,"WFP, OCHA COD, UNMISS, NBS",4.64712871002280,31.39672246606980
"285,777",Central Equatoria,Juba,Baloke,,,,Village,81,"WFP, OCHA COD, UNMISS, NBS",4.55032333955131,31.00038894619380
"375,025",Central Equatoria,Juba,Bangu,,,,IDP,80,"OCHA IDP, UNMISS",4.68305638744317,31.39895583434510
"204,529",Central Equatoria,Juba,Baranga,,,,Village,41,"UNMISS, WFP, NBS",4.58000000030063,31.04000000030070
"205,441",Central Equatoria,Juba,Bari,,,,Village,20,WFP,4.15549659868992,31.46308234087820
"281,537",Central Equatoria,Juba,Bariang,,,,Village,40,WFP,4.79911432466719,30.95323000805930
"209,985",Central Equatoria,Juba,Bedden Rapids,,,,Village,61,"OCHA COD, UNMISS, WFP, NBS",4.59054161680302,31.50609863744310
"285,441",Central Equatoria,Juba,Beyli,,,,Village,81,"WFP, OCHA COD, UNMISS, NBS",4.59728572455737,31.55838165808790
"261,297",Central Equatoria,Juba,Billiyang,,,,Town,20,WFP,4.84486776993248,31.75179182863090
"285,265",Central Equatoria,Juba,Bongo,,,,Village,81,"WFP, OCHA COD, UNMISS, NBS",4.63924152078039,31.36632044003720
"205,009",Central Equatoria,Juba,Bongwa,,,,Village,41,"UNMISS, WFP, NBS",4.45722220014522,31.16722219964570
"281,729",Central Equatoria,Juba,Buduge,,,,Village,40,WFP,4.76844049293521,31.60894795208720
"274,321",Central Equatoria,Juba,Buko,,,,Town,111,"UNMISS, WFP, OCHA COD, NBS",5.18065636030360,31.27338486402110
"210,689",Central Equatoria,Juba,Bungu,,,,Village,61,"OCHA COD, UNMISS, WFP, NBS",4.66419951879357,31.39707100822140
"211,361",Central Equatoria,Juba,Buripiong,,,,Village,61,"OCHA COD, UNMISS, WFP, NBS",4.76337452461547,32.08486183230860
"281,425",Central Equatoria,Juba,Chaka,,,,Village,81,"WFP, OCHA COD, UNMISS, NBS",4.81040341538613,31.23778091375900
"281,457",Central Equatoria,Juba,Chamba,,,,Village,81,"WFP, OCHA COD, UNMISS, NBS",4.80442342200416,31.36875825568980
"202,321",Central Equatoria,Juba,Chilikwa,,,,Village,41,"UNMISS, WFP, NBS",4.11666670020890,31.95000000010080
"287,569",Central Equatoria,Juba,Delili,,,,Village,81,"WFP, OCHA COD, UNMISS, NBS",4.49272285787441,31.22687378399880
"204,433",Central Equatoria,Juba,Digali,,,,Village,41,"UNMISS, WFP, NBS",4.56416670003404,31.16305560013670
"283,441",Central Equatoria,Juba,Dikala,,,,Village,81,"WFP, OCHA COD, UNMISS, NBS",4.68412792876171,31.39666532224770
"365,121",Central Equatoria,Juba,Dollo,,,,IDP,80,"OCHA IDP, UNMISS",4.76088673723399,30.93197373560030
"205,249",Central Equatoria,Juba,Duduru,,,,Village,41,"UNMISS, WFP, NBS",4.49222219989542,31.87750000042560
"288,577",Central Equatoria,Juba,Duro,,,,Town,111,"UNMISS, WFP, OCHA COD, NBS",4.42174167463941,31.61543103881230
"287,649",Central Equatoria,Juba,Edemo,,,,Village,81,"WFP, OCHA COD, UNMISS, NBS",4.46544119875313,31.92546331198320
"209,873",Central Equatoria,Juba,El Iqlim Al Istiwa'i,,,,Village,41,"UNMISS, WFP, NBS",5.00000000000085,31.00000000020070
"262,817",Central Equatoria,Juba,Fagar,,,,Town,111,"UNMISS, WFP, OCHA COD, NBS",4.20157073410292,31.63604674306360
"204,369",Central Equatoria,Juba,Fedde,,,,Village,41,"UNMISS, WFP, NBS",4.55305560043644,31.97555560031160
"204,609",Central Equatoria,Juba,Fidiya,,,,Village,41,"UNMISS, WFP, NBS",4.58305559983688,31.93138889997860
"274,289",Central Equatoria,Juba,Gabur,,,,Village,81,"WFP, OCHA COD, UNMISS, NBS",5.17853437216439,31.76605788936100
"209,345",Central Equatoria,Juba,Gamichi,,,,Village,41,"UNMISS, WFP, NBS",4.94611110044775,32.03361110027290
